               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027064,            0.045314,            0.004088,             0.91191,             0.93708,             0.93058,             0.68469,            0.020175,             0.02071,           0.0022832,            0.006535,            0.006535,            0.006535
                  37,             0.02619,            0.043051,           0.0039503,             0.94896,             0.91367,              0.9446,             0.68099,            0.019439,            0.020793,           0.0028682,            0.006436,            0.006436,            0.006436
                  38,             0.02479,            0.042938,           0.0040934,             0.92599,             0.94193,             0.93677,             0.67712,            0.020095,            0.020807,           0.0024157,            0.006337,            0.006337,            0.006337
                  39,            0.025525,            0.043024,            0.004038,             0.92993,             0.91669,             0.93004,             0.68518,            0.019407,            0.020745,           0.0022862,            0.006238,            0.006238,            0.006238
                  40,            0.025659,            0.042859,           0.0040297,             0.93517,             0.91715,             0.94127,             0.69516,            0.020063,            0.020847,           0.0022154,            0.006139,            0.006139,            0.006139
                  41,            0.025527,            0.043669,           0.0035894,             0.93544,             0.92531,             0.94384,             0.68239,            0.020915,            0.021366,           0.0023035,             0.00604,             0.00604,             0.00604
                  42,             0.02491,            0.043477,           0.0039437,             0.92429,             0.92233,             0.92761,             0.69032,            0.021882,            0.022243,           0.0023219,            0.005941,            0.005941,            0.005941
                  43,            0.025538,             0.04494,           0.0038898,             0.93727,             0.91091,             0.93694,             0.69896,            0.019403,            0.021046,           0.0020509,            0.005842,            0.005842,            0.005842
                  44,            0.024919,            0.040865,           0.0036784,             0.92519,             0.93433,             0.92831,             0.69951,              0.0196,            0.020555,           0.0019327,            0.005743,            0.005743,            0.005743
                  45,            0.025009,            0.045796,           0.0034611,             0.93759,             0.92539,              0.9267,             0.69188,            0.019807,            0.021695,           0.0030503,            0.005644,            0.005644,            0.005644
                  46,            0.024403,            0.043702,           0.0034078,              0.9459,             0.91198,              0.9338,             0.68954,            0.018849,            0.021037,           0.0032376,            0.005545,            0.005545,            0.005545
                  47,              0.0241,            0.043234,           0.0032542,             0.92614,             0.91565,             0.92058,             0.69326,            0.018471,            0.021257,           0.0030694,            0.005446,            0.005446,            0.005446
                  48,            0.023471,            0.043368,           0.0034639,             0.92068,             0.89085,             0.91792,             0.68093,            0.020185,            0.021719,           0.0020628,            0.005347,            0.005347,            0.005347
